Timestamp;User;Case id;Log;Activity;Number of dialog steps
2025.03.11 10:22:58;GBIALL-005;5;FB03;Display Document;44
2025.03.11 10:23:59;GBIALL-005;5;FB03;Display Document;44
2025.03.11 10:24:51;GBIALL-005;5;FAGLB03;Display Balances;79
2025.03.11 10:28:17;GBIALL-005;5;FK01;Create Vendor (Accounting);40
2025.03.11 10:38:55;GBIALL-005;5;FK02;Change Vendor (Accounting);55
2025.03.11 10:43:18;GBIALL-005;5;FB60;Enter Incoming Invoices;178
2025.03.11 10:49:15;GBIALL-005;5;FB60;Enter Incoming Invoices;178
2025.03.11 10:49:55;GBIALL-005;5;FK10N;Vendor Balance Display;39
2025.03.11 10:51:07;GBIALL-005;5;FBL1N;Vendor Line Items;47
2025.03.11 10:53:37;GBIALL-005;5;F-53;Post Outgoing Payments;184
2025.03.11 10:53:47;GBIALL-005;5;F-53;Post Outgoing Payments;184
2025.03.11 10:55:53;GBIALL-005;5;F-53;Post Outgoing Payments;184
2025.03.11 10:56:35;GBIALL-005;5;FBL1N;Vendor Line Items;47
2025.03.11 10:58:49;GBIALL-005;5;FB60;Enter Incoming Invoices;178
2025.03.11 11:00:45;GBIALL-005;5;FB60;Enter Incoming Invoices;178
2025.03.11 11:01:17;GBIALL-005;5;FB08;Reverse Document;37
2025.03.11 11:02:09;GBIALL-005;5;FB08;Reverse Document;37
2025.03.11 11:03:04;GBIALL-005;5;FB09;Change Line Items;1
2025.03.11 11:03:17;GBIALL-005;5;FB03;Display Document;44
2025.03.11 11:03:26;GBIALL-005;5;FK03;Display Vendor (Accounting);6
2025.03.11 11:03:50;GBIALL-005;5;FK03;Display Vendor (Accounting);6
2025.03.11 11:04:12;GBIALL-005;5;FBL1H;Vendor Line Item Browser;49
2025.03.11 11:06:51;GBIALL-005;5;FB60;Enter Incoming Invoices;178
2025.03.11 11:08:04;GBIALL-005;5;FB60;Enter Incoming Invoices;178
2025.03.11 11:08:40;GBIALL-005;5;FBL1H;Vendor Line Item Browser;49
2025.03.11 11:08:57;GBIALL-005;5;FK10N;Vendor Balance Display;39
2025.03.11 11:09:08;GBIALL-005;5;FBL1N;Vendor Line Items;47
2025.03.11 11:09:46;GBIALL-005;5;FB65;Enter Incoming Credit Memos;44
2025.03.11 11:11:59;GBIALL-005;5;FB65;Enter Incoming Credit Memos;44
2025.03.11 11:12:27;GBIALL-005;5;FBL1H;Vendor Line Item Browser;49
2025.03.11 11:12:50;GBIALL-005;5;FBL1N;Vendor Line Items;47
2025.03.11 11:14:06;GBIALL-005;5;F-53;Post Outgoing Payments;184
2025.03.11 11:19:58;GBIALL-005;5;F-53;Post Outgoing Payments;184
